"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3720","Contract policy is fulfilled MembershipCredential","","Mon Mar 31 20:26:23 GMT 2025","passed","Mon Mar 31 20:26:27 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1131","The Authorization header is missing","","Mon Mar 31 20:22:37 GMT 2025","passed","Mon Mar 31 20:22:38 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","16","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Mon Mar 31 20:22:41 GMT 2025","passed","Mon Mar 31 20:22:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","4017","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Mar 31 20:26:34 GMT 2025","passed","Mon Mar 31 20:26:38 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","3433","Contract policy is fulfilled MembershipCredential","","Mon Mar 31 20:24:22 GMT 2025","passed","Mon Mar 31 20:24:26 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","2898","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Mon Mar 31 20:26:16 GMT 2025","passed","Mon Mar 31 20:26:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","33","Policy is accepted PCF Use Case (legacy notation)","","Mon Mar 31 20:22:42 GMT 2025","passed","Mon Mar 31 20:22:42 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","3977","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Mar 31 20:24:34 GMT 2025","passed","Mon Mar 31 20:24:38 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","31","Policy is accepted Dismantler Credential","","Mon Mar 31 20:22:42 GMT 2025","passed","Mon Mar 31 20:22:42 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","3","verifyAgentId_whenNoMembershipCredential(ParticipantAgentService)","","Mon Mar 31 20:25:05 GMT 2025","passed","Mon Mar 31 20:25:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyAgentId_whenNoMembershipCredential"
"","31","Policy is accepted PCF Use Case (legacy notation)","","Mon Mar 31 20:22:41 GMT 2025","passed","Mon Mar 31 20:22:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","2039","transferFile_azureToS3(Vault)","","Mon Mar 31 20:23:50 GMT 2025","passed","Mon Mar 31 20:23:52 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","2117","Contract policy is NOT fulfilled Dismantler activityType does not match","","Mon Mar 31 20:24:14 GMT 2025","passed","Mon Mar 31 20:24:16 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","20","Policy is accepted Dismantler allowedBrands (IN, fully contained)","","Mon Mar 31 20:22:41 GMT 2025","passed","Mon Mar 31 20:22:41 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","3969","Contract policy is fulfilled PCF Use Case (legacy notation)","","Mon Mar 31 20:24:26 GMT 2025","passed","Mon Mar 31 20:24:30 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","26","Policy is accepted Contract reference","","Mon Mar 31 20:22:42 GMT 2025","passed","Mon Mar 31 20:22:42 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","2344","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Mar 31 20:22:39 GMT 2025","passed","Mon Mar 31 20:22:41 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","96","transferfile_largeFile(long) File size bytes: 536870912","","Mon Mar 31 20:23:58 GMT 2025","passed","Mon Mar 31 20:23:58 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferfile_largeFile"
"","5958","transferData_privateBackend()","","Mon Mar 31 20:22:38 GMT 2025","passed","Mon Mar 31 20:22:44 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_privateBackend"
"","16","transferfile_largeFile(long) File size bytes: 1073741824","","Mon Mar 31 20:23:58 GMT 2025","passed","Mon Mar 31 20:23:58 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferfile_largeFile"
"","3987","Contract policy is fulfilled Dismantler Credential","","Mon Mar 31 20:26:38 GMT 2025","passed","Mon Mar 31 20:26:42 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
