"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37237","httpPushDataTransfer()","","Mon Mar 31 20:49:10 GMT 2025","passed","Mon Mar 31 20:49:48 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$InMemory","httpPushDataTransfer"
"","33","Policy is accepted Dismantler allowedBrands (EQ, exact match)","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","821","The authentication token misses required claims: audience","","Mon Mar 31 20:48:45 GMT 2025","passed","Mon Mar 31 20:48:46 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","5351","When multiple requests to refresh, to different edrs, verify all return non expired token","","Mon Mar 31 20:48:50 GMT 2025","passed","Mon Mar 31 20:48:55 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_subsequentRequestReturn"
"","5656","When multiple requests to refresh, to different edrs, verify all return non expired token","","Mon Mar 31 20:49:16 GMT 2025","passed","Mon Mar 31 20:49:22 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","getEdrWithRefresh_subsequentRequestReturn"
"","163","refreshEdr_whenNotAuthorized()","","Mon Mar 31 20:48:55 GMT 2025","passed","Mon Mar 31 20:48:56 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","refreshEdr_whenNotAuthorized"
"","42","Policy is accepted DataExchangeGovernance use case","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","6766","Verify all existing TPs related to an agreement are terminated upon its retirement","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:43 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest.InMemory","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest$InMemory","retireAgreement_shouldCloseTransferProcesses"
"","43","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","1014","The Authorization header is empty","","Mon Mar 31 20:48:40 GMT 2025","passed","Mon Mar 31 20:48:41 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_emptyAuthHeader"
"","4576","refreshEdr()","","Mon Mar 31 20:49:11 GMT 2025","passed","Mon Mar 31 20:49:16 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","refreshEdr"
"","2302","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:38 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","29","Policy is accepted Dismantler Credential","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","32","Policy is accepted Dismantler Credential","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","32719","Consumer gets cached catalog with provider entry","","Mon Mar 31 20:49:21 GMT 2025","passed","Mon Mar 31 20:49:54 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest$InMemory","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","1460","retireAgreement_shouldFail_whenAgreementDoesNotExist()","","Mon Mar 31 20:48:35 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest.InMemory","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest$InMemory","retireAgreement_shouldFail_whenAgreementDoesNotExist"
"","209","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Mar 31 20:49:12 GMT 2025","passed","Mon Mar 31 20:49:13 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_filteredByBpnLegacy_shouldReject"
"","177","Verify HTTP 200 response and body when refreshing succeeds","","Mon Mar 31 20:48:55 GMT 2025","passed","Mon Mar 31 20:48:55 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_success"
"","830","The sign key of the authentication token is different from the public key from the DID","","Mon Mar 31 20:48:44 GMT 2025","passed","Mon Mar 31 20:48:45 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_spoofedAuthToken"
"","870","The refresh token does not match the stored one","","Mon Mar 31 20:48:43 GMT 2025","passed","Mon Mar 31 20:48:44 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_withWrongRefreshToken"
"","946","Refresh token success","","Mon Mar 31 20:48:46 GMT 2025","passed","Mon Mar 31 20:48:47 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","3435","The authentication token misses required claims: token","","Mon Mar 31 20:48:35 GMT 2025","passed","Mon Mar 31 20:48:38 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAccessToken"
"","33","Policy is accepted Dismantler allowedBrands (IN, fully contained)","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","155","refreshEdr_whenNotFound()","","Mon Mar 31 20:48:50 GMT 2025","passed","Mon Mar 31 20:48:50 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","refreshEdr_whenNotFound"
"","6016","transferData_privateBackend()","","Mon Mar 31 20:48:34 GMT 2025","passed","Mon Mar 31 20:48:40 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_privateBackend"
"","3392","transferData_privateBackend_withConsumerDataPlane()","","Mon Mar 31 20:48:40 GMT 2025","passed","Mon Mar 31 20:48:43 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_privateBackend_withConsumerDataPlane"
"","14132","transferData_withTerminate()","","Mon Mar 31 20:48:43 GMT 2025","passed","Mon Mar 31 20:48:58 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_withTerminate"
"","133","refreshEdr_whenNotAuthorized()","","Mon Mar 31 20:49:22 GMT 2025","passed","Mon Mar 31 20:49:22 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","refreshEdr_whenNotAuthorized"
"","23","Policy is accepted Dismantler Cred (activity type)","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","28","Policy is accepted DataExchangeGovernance use case","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1107","The Authorization header is missing","","Mon Mar 31 20:48:38 GMT 2025","passed","Mon Mar 31 20:48:40 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","23","Policy is accepted Contract reference","","Mon Mar 31 20:48:36 GMT 2025","passed","Mon Mar 31 20:48:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","31","Policy is accepted PCF Use Case (new notation)","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","37","Policy is accepted Dismantler Cred (activity type)","","Mon Mar 31 20:48:37 GMT 2025","passed","Mon Mar 31 20:48:37 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
