"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18847","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Tue May 13 12:17:00 GMT 2025","passed","Tue May 13 12:17:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","3608","transferData_privateBackend_withConsumerDataPlane()","","Tue May 13 12:17:51 GMT 2025","passed","Tue May 13 12:17:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_privateBackend_withConsumerDataPlane"
"","1573","Policy is accepted MembershipCredential","","Tue May 13 12:18:03 GMT 2025","passed","Tue May 13 12:18:04 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1245","Refresh token is null or empty (missing) [1] null","","Tue May 13 12:17:33 GMT 2025","passed","Tue May 13 12:17:35 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","30","Provider gets 400 when no asset selector is used","","Tue May 13 12:17:25 GMT 2025","passed","Tue May 13 12:17:25 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasNoAssetSelector"
"","4515","transferData_privateBackend()","","Tue May 13 12:19:43 GMT 2025","passed","Tue May 13 12:19:48 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend"
"","28","Policy is accepted Contract reference","","Tue May 13 12:18:05 GMT 2025","passed","Tue May 13 12:18:05 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","9707","azureBlobPush_withoutDestFolder()","","Tue May 13 12:36:06 GMT 2025","passed","Tue May 13 12:36:16 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","40","Policy is accepted Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Tue May 13 12:18:06 GMT 2025","passed","Tue May 13 12:18:06 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3963","transferData_privateBackend_withConsumerDataPlane()","","Tue May 13 12:19:48 GMT 2025","passed","Tue May 13 12:19:52 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend_withConsumerDataPlane"
