"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","179","Verify HTTP 200 response and body when refreshing succeeds","","Tue Apr 29 09:00:48 GMT 2025","passed","Tue Apr 29 09:00:49 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_success"
"","22","Policy is accepted Usage Purpose","","Tue Apr 29 09:00:33 GMT 2025","passed","Tue Apr 29 09:00:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","3997","Contract policy is fulfilled DataExchangeGovernance use case","","Tue Apr 29 09:02:21 GMT 2025","passed","Tue Apr 29 09:02:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1092","The Authorization header is empty","","Tue Apr 29 09:00:26 GMT 2025","passed","Tue Apr 29 09:00:27 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_emptyAuthHeader"
"","138","Expect the Catalog request to fail if a credential is expired","","Tue Apr 29 09:01:56 GMT 2025","passed","Tue Apr 29 09:01:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","catalogRequest_whenCredentialExpired"
"","123","Expect the Catalog request to fail if a credential is expired","","Tue Apr 29 09:04:02 GMT 2025","passed","Tue Apr 29 09:04:02 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","catalogRequest_whenCredentialExpired"
"","3312","Contract policy is fulfilled Dismantler Cred (activity type)","","Tue Apr 29 09:02:31 GMT 2025","passed","Tue Apr 29 09:02:34 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","31","Policy is accepted PCF Use Case (new notation)","","Tue Apr 29 09:00:33 GMT 2025","passed","Tue Apr 29 09:00:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","7863","transferData_withExpiredEdr_shouldReturn4xx()","","Tue Apr 29 09:02:42 GMT 2025","passed","Tue Apr 29 09:02:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withExpiredEdr_shouldReturn4xx"
"","26","Policy is accepted Contract reference","","Tue Apr 29 09:00:33 GMT 2025","passed","Tue Apr 29 09:00:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
