"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3571","transferData_privateBackend_withConsumerDataPlane()","","Mon Mar 31 23:55:10 GMT 2025","passed","Mon Mar 31 23:55:14 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_privateBackend_withConsumerDataPlane"
"","2094","Contract policy is NOT fulfilled Dismantler activityType does not match","","Mon Mar 31 23:56:47 GMT 2025","passed","Mon Mar 31 23:56:49 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","811","The refresh token does not match the stored one","","Mon Mar 31 23:55:04 GMT 2025","passed","Mon Mar 31 23:55:05 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_withWrongRefreshToken"
"","33","Policy is accepted PCF Use Case (new notation)","","Mon Mar 31 23:55:05 GMT 2025","passed","Mon Mar 31 23:55:05 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","43","Policy is accepted DataExchangeGovernance use case","","Mon Mar 31 23:55:05 GMT 2025","passed","Mon Mar 31 23:55:06 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","14108","transferData_withTerminate()","","Mon Mar 31 23:55:14 GMT 2025","passed","Mon Mar 31 23:55:28 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_withTerminate"
"","37","Policy is accepted PCF Use Case (legacy notation)","","Mon Mar 31 23:55:05 GMT 2025","passed","Mon Mar 31 23:55:05 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1909","Contract policy is NOT fulfilled Dismantler activityType does not match","","Mon Mar 31 23:58:45 GMT 2025","passed","Mon Mar 31 23:58:47 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","171","Multiple ContractDefinitions exist for one Asset","","Mon Mar 31 23:55:44 GMT 2025","passed","Mon Mar 31 23:55:45 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_multipleOffersForAsset"
"","4001","Contract policy is fulfilled Dismantler Credential","","Mon Mar 31 23:57:10 GMT 2025","passed","Mon Mar 31 23:57:14 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1932","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Mon Mar 31 23:58:43 GMT 2025","passed","Mon Mar 31 23:58:45 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","4027","Contract policy is fulfilled Dismantler Cred (activity type)","","Mon Mar 31 23:57:14 GMT 2025","passed","Mon Mar 31 23:57:18 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","39","Policy is accepted Usage Purpose","","Mon Mar 31 23:55:06 GMT 2025","passed","Mon Mar 31 23:55:06 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","552","Verify HTTP 200 response and body when refreshing succeeds","","Mon Mar 31 23:55:45 GMT 2025","passed","Mon Mar 31 23:55:45 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","getEdrWithRefresh_success"
"","4048","Contract policy is fulfilled Dismantler allowedBrands (EQ, exact match)","","Mon Mar 31 23:57:22 GMT 2025","passed","Mon Mar 31 23:57:26 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","128","refreshEdr_whenNotFound()","","Mon Mar 31 23:55:39 GMT 2025","passed","Mon Mar 31 23:55:39 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","refreshEdr_whenNotFound"
