"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Policy is accepted DataExchangeGovernance use case","","Thu Apr 24 18:34:12 GMT 2025","passed","Thu Apr 24 18:34:12 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","5028","Contract policy is fulfilled Dismantler allowedBrands (EQ, exact match)","","Thu Apr 24 18:36:24 GMT 2025","passed","Thu Apr 24 18:36:29 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","226","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Thu Apr 24 18:34:48 GMT 2025","passed","Thu Apr 24 18:34:48 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.InMemory","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$InMemory","requestCatalog_filteredByBpn_shouldReject"
"","2903","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Thu Apr 24 18:34:12 GMT 2025","passed","Thu Apr 24 18:34:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","2013","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Thu Apr 24 18:35:43 GMT 2025","passed","Thu Apr 24 18:35:45 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","145","refreshEdr_whenNotAuthorized()","","Thu Apr 24 18:34:42 GMT 2025","passed","Thu Apr 24 18:34:42 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","refreshEdr_whenNotAuthorized"
"","4001","Contract policy is fulfilled Dismantler Credential","","Thu Apr 24 18:38:16 GMT 2025","passed","Thu Apr 24 18:38:20 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","5685","Contract policy is fulfilled MembershipCredential","","Thu Apr 24 18:35:47 GMT 2025","passed","Thu Apr 24 18:35:53 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","1946","Contract policy is NOT fulfilled Traceability Use Case (new notation)","","Thu Apr 24 18:37:48 GMT 2025","passed","Thu Apr 24 18:37:50 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","2918","Contract policy is NOT fulfilled Dismantler allowedBrands (NEQ, but is equal)","","Thu Apr 24 18:37:52 GMT 2025","passed","Thu Apr 24 18:37:55 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
