"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6184","transferData_privateBackend()","","Wed Mar 26 13:20:02 GMT 2025","passed","Wed Mar 26 13:20:08 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Postgres","transferData_privateBackend"
"","31","Policy is accepted Dismantler Cred (activity type)","","Wed Mar 26 13:18:53 GMT 2025","passed","Wed Mar 26 13:18:53 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldNotAcceptInvalidValidPolicyDefinitions"
"","7005","transferData_withSuspendResume()","","Wed Mar 26 13:20:27 GMT 2025","passed","Wed Mar 26 13:20:34 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Postgres","transferData_withSuspendResume"
"","40","Policy is accepted Dismantler allowedBrands (IS_NONE_OF, no intersect)","","Wed Mar 26 13:18:54 GMT 2025","passed","Wed Mar 26 13:18:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","62","Policy is accepted DataExchangeGovernance use case","","Wed Mar 26 13:18:53 GMT 2025","passed","Wed Mar 26 13:18:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","175","refreshEdr_whenNotAuthorized()","","Wed Mar 26 13:18:09 GMT 2025","passed","Wed Mar 26 13:18:09 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","refreshEdr_whenNotAuthorized"
"","44","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Wed Mar 26 13:18:54 GMT 2025","passed","Wed Mar 26 13:18:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","44","Policy is accepted Dismantler Credential","","Wed Mar 26 13:18:54 GMT 2025","passed","Wed Mar 26 13:18:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","178","Multiple ContractDefinitions exist for one Asset","","Wed Mar 26 13:17:08 GMT 2025","passed","Wed Mar 26 13:17:08 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.Postgres","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$Postgres","requestCatalog_multipleOffersForAsset"
"","15225","transferData_withTerminate()","","Wed Mar 26 13:20:12 GMT 2025","passed","Wed Mar 26 13:20:27 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Postgres","transferData_withTerminate"
"","446","refreshEdr()","","Wed Mar 26 13:18:02 GMT 2025","passed","Wed Mar 26 13:18:03 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","refreshEdr"
