"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Policy is accepted Dismantler Cred (activity type)","","Wed Mar 26 12:53:32 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldNotAcceptInvalidValidPolicyDefinitions"
"","27","Policy is accepted Usage Purpose","","Wed Mar 26 12:53:32 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldNotAcceptInvalidValidPolicyDefinitions"
"","39192","shouldTerminateTransfer_whenPolicyExpires()","","Wed Mar 26 12:53:45 GMT 2025","passed","Wed Mar 26 12:54:25 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest$Postgres","shouldTerminateTransfer_whenPolicyExpires"
"","43","Policy is accepted Dismantler allowedBrands (EQ, exact match)","","Wed Mar 26 12:53:33 GMT 2025","passed","Wed Mar 26 12:53:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","15469","transferData_withTerminate()","","Wed Mar 26 12:54:52 GMT 2025","passed","Wed Mar 26 12:55:07 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Postgres","transferData_withTerminate"
"","519","Policy is accepted MembershipCredential","","Wed Mar 26 12:53:32 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","35","Policy is accepted Dismantler allowedBrands (IS_ANY_OF, one intersects)","","Wed Mar 26 12:53:32 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldNotAcceptInvalidValidPolicyDefinitions"
"","192","Multiple ContractDefinitions exist for one Asset","","Wed Mar 26 12:51:47 GMT 2025","passed","Wed Mar 26 12:51:47 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.Postgres","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$Postgres","requestCatalog_multipleOffersForAsset"
"","2715","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Wed Mar 26 12:51:04 GMT 2025","passed","Wed Mar 26 12:51:07 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.Postgres","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$Postgres","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","10606","Verify that the callbacks are invoked when negotiating an EDR","","Wed Mar 26 12:53:01 GMT 2025","passed","Wed Mar 26 12:53:12 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest$Postgres","negotiateEdr_shouldInvokeCallbacks"
"","95","Policy is accepted DataExchangeGovernance use case","","Wed Mar 26 12:53:33 GMT 2025","passed","Wed Mar 26 12:53:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","33609","httpPushDataTransfer()","","Wed Mar 26 12:55:26 GMT 2025","passed","Wed Mar 26 12:56:00 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Postgres","httpPushDataTransfer"
"","41","Policy is accepted PCF Use Case (legacy notation)","","Wed Mar 26 12:53:31 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldNotAcceptInvalidValidPolicyDefinitions"
"","40157","Catalog with 1000 offers","","Wed Mar 26 12:51:07 GMT 2025","passed","Wed Mar 26 12:51:47 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest.Postgres","org.eclipse.tractusx.edc.tests.catalog.CatalogTest$Postgres","requestCatalog_of1000Assets_shouldContainAll"
"","7163","Verify all existing TPs related to an agreement are terminated upon its retirement","","Wed Mar 26 12:50:39 GMT 2025","passed","Wed Mar 26 12:50:46 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest.Postgres","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest$Postgres","retireAgreement_shouldCloseTransferProcesses"
"","43","Policy is accepted Dismantler allowedBrands (IN, fully contained)","","Wed Mar 26 12:53:33 GMT 2025","passed","Wed Mar 26 12:53:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","64","Policy is accepted PCF Use Case (legacy notation)","","Wed Mar 26 12:53:32 GMT 2025","passed","Wed Mar 26 12:53:32 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","44","Policy is accepted Usage Purpose","","Wed Mar 26 12:53:33 GMT 2025","passed","Wed Mar 26 12:53:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
"","1678","retireAgreement_shouldFail_whenAgreementDoesNotExist()","","Wed Mar 26 12:50:37 GMT 2025","passed","Wed Mar 26 12:50:39 GMT 2025","","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest.Postgres","org.eclipse.tractusx.edc.tests.agreement.retirement.RetireAgreementTest$Postgres","retireAgreement_shouldFail_whenAgreementDoesNotExist"
"","156","Verify the refresh endpoint is not called when token not yet expired","","Wed Mar 26 12:52:42 GMT 2025","passed","Wed Mar 26 12:52:43 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_notExpired_shouldNotCallEndpoint"
"","3569","transferData_privateBackend_withConsumerDataPlane()","","Wed Mar 26 12:54:48 GMT 2025","passed","Wed Mar 26 12:54:52 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Postgres","transferData_privateBackend_withConsumerDataPlane"
"","5392","When multiple requests to refresh, to different edrs, verify all return non expired token","","Wed Mar 26 12:52:43 GMT 2025","passed","Wed Mar 26 12:52:48 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_subsequentRequestReturn"
"","201","Verify HTTP 200 response and body when refreshing succeeds","","Wed Mar 26 12:52:48 GMT 2025","passed","Wed Mar 26 12:52:48 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$Postgres","getEdrWithRefresh_success"
"","63","Policy is accepted PCF Use Case (new notation)","","Wed Mar 26 12:53:33 GMT 2025","passed","Wed Mar 26 12:53:33 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.Postgres","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$Postgres","shouldAcceptValidPolicyDefinitions"
