"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1197","Contract policy is NOT fulfilled Dismantler activityType does not match","","Fri Mar 14 14:23:12 GMT 2025","passed","Fri Mar 14 14:23:13 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","37","Policy is accepted Dismantler Cred (activity type)","","Fri Mar 14 14:25:49 GMT 2025","passed","Fri Mar 14 14:25:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldAcceptValidPolicyDefinitions"
"","3355","Contract policy is fulfilled Dismantler Cred (activity type)","","Fri Mar 14 14:23:32 GMT 2025","passed","Fri Mar 14 14:23:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","23","Policy is accepted Dismantler Credential","","Fri Mar 14 14:25:48 GMT 2025","passed","Fri Mar 14 14:25:48 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1075","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Fri Mar 14 14:23:14 GMT 2025","passed","Fri Mar 14 14:23:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","139","Expect the Catalog request to fail if a credential is expired","","Fri Mar 14 14:23:10 GMT 2025","passed","Fri Mar 14 14:23:10 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimHttpConsumerPullTest","catalogRequest_whenCredentialExpired"
"","35","Policy is accepted PCF Use Case (new notation)","","Fri Mar 14 14:25:48 GMT 2025","passed","Fri Mar 14 14:25:48 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest$InMemory","shouldNotAcceptInvalidValidPolicyDefinitions"
"","5779","transferData_withSuspendResume()","","Fri Mar 14 14:27:20 GMT 2025","passed","Fri Mar 14 14:27:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$InMemory","transferData_withSuspendResume"
"","149","Verify HTTP 403 response when refreshing the token is not allowed","","Fri Mar 14 14:20:55 GMT 2025","passed","Fri Mar 14 14:20:55 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","getEdrWithRefresh_unauthorized"
"","542","Verify the refresh endpoint is not called when token not yet expired","","Fri Mar 14 14:20:55 GMT 2025","passed","Fri Mar 14 14:20:55 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest.InMemory","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest$InMemory","getEdrWithRefresh_notExpired_shouldNotCallEndpoint"
